,TCAS,AcademicYear,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,GPAX,FacultyName,StudentType,MajorName
1613,1,2562,2.31,1.68,1.6,3.0,2.16,6,THAI,English
1614,1,2562,2.75,2.8,1.91,3.42,3.16,6,THAI,English
1615,1,2562,3.2,2.73,2.9,3.7,3.18,6,THAI,English
1616,1,2562,3.44,2.74,3.25,3.85,3.37,6,THAI,English
1617,2,2562,3.09,1.59,2.57,3.81,2.78,6,THAI,English
1618,1,2562,3.86,2.86,3.14,4.0,3.47,6,THAI,English
1619,1,2562,3.67,2.04,3.03,3.23,3.23,6,THAI,English
1620,2,2562,3.7,3.6,3.0,3.9,3.48,6,THAI,English
1621,2,2562,3.21,2.98,3.26,3.94,3.4,6,THAI,English
1622,2,2562,1.91,2.1,2.5,2.66,2.72,6,THAI,English
1623,1,2562,3.5,2.48,3.37,3.34,3.15,6,THAI,English
1624,2,2562,3.85,2.92,3.7,3.44,3.69,6,THAI,English
1625,1,2562,2.45,3.15,2.87,3.59,3.03,6,THAI,English
1626,1,2562,3.1,2.12,1.75,3.02,2.53,6,THAI,English
1627,1,2562,3.25,2.9,3.42,3.96,3.44,6,THAI,English
1628,1,2562,2.7,2.8,3.12,3.3,3.15,6,THAI,English
1629,1,2562,3.62,2.96,3.1,3.26,3.49,6,THAI,English
1630,2,2562,2.38,1.7,3.1,2.95,2.91,6,THAI,English
1631,1,2562,3.75,2.25,2.37,3.86,2.99,6,THAI,English
1632,1,2562,2.93,1.72,2.4,2.78,2.76,6,THAI,English
1633,1,2562,3.76,3.75,3.25,4.0,3.68,6,THAI,English
1634,1,2562,3.77,2.84,3.5,3.88,3.62,6,THAI,English
1635,2,2562,2.64,2.63,2.67,3.86,3.13,6,THAI,English
1636,1,2562,3.19,1.58,2.75,3.55,3.1,6,THAI,English
1637,1,2562,2.95,2.3,3.1,3.23,3.25,6,THAI,English
1638,2,2562,2.65,2.2,2.08,3.33,2.45,6,THAI,English
1639,1,2562,3.55,4.0,3.35,3.43,3.55,6,THAI,English
